,sector,qf_code,title,download_link
24,IT-ITeS,SSC/Q4501,Technical Writer,https://nqr.gov.in/sites/default/files/NSQF-Technical%20Writer_1.pdf
25,IT-ITeS,SSC/Q4301,Design Engineer-Product Manufacturing Support,https://nqr.gov.in/sites/default/files/NSQF-Design%20Engineer-Product%20Manufacturing%20Support.pdf
26,Capital Goods & Manufacturing,DGT/1027,Sheet Metal Worker (CTS),https://nqr.gov.in/sites/default/files/NSQF-Sheet%20Metal%20Worker_0.pdf
27,Textile & Handloom,(WVG 711),Weaver-Dobby loom,https://nqr.gov.in/sites/default/files/NSQF-%20Weaver-%20Dobby%20Loom.pdf
28,Textile & Handloom,(WVG 714),Weaver– Shuttle-less Air Jet looms,https://nqr.gov.in/sites/default/files/NSQF-%20%20Weave-Shuttle-Less%20Air%20Jet%20Looms.pdf
29,Textile & Handloom,(WVG 713),Weaver– Shuttle-Less Gripper/Projectile Looms,https://nqr.gov.in/sites/default/files/NSQF-%20Weaver-%20Shuttle-Less%20Gripper-Projectile%20Looms.pdf
30,Textile & Handloom,(WVG 715),Weaver-Shuttle less Water Jet looms,https://nqr.gov.in/sites/default/files/NSQF-%20Weaver%20%E2%80%93%20Shuttleless%20Water%20Jet%20Looms.pdf
31,Textile & Handloom,2019/TEXT/MOT/3183,"Blow Room, Carding and Draw Frame Operator",https://nqr.gov.in/sites/default/files/Blowroom%2C%20Carding%20and%20draw%20frame%20Operator.pdf
32,Textile & Handloom,2019/TEXT/MOT/3184,"Draw frame, Lapformer and Comber Operator",https://nqr.gov.in/sites/default/files/draw%20frame%20lap%20former%20and%20combinng%20machine%20operator.pdf
33,Textile & Handloom,2019/TEXT/MOT/3185,Speed Frame Operator cum Doffer,https://nqr.gov.in/sites/default/files/Speed%20Frame%20Machine%20Cum%20Doffer.pdf
34,Textile & Handloom,2019/TEXT/MOT/3186,Ring Frame Tenter,https://nqr.gov.in/sites/default/files/ring%20frame%20tentre.pdf
35,Textile & Handloom,2019/TEXT/MOT/3187,Ring Doffer,https://nqr.gov.in/sites/default/files/ring%20fram%20%20doffer.pdf
36,Textile & Handloom,2019/TEXT/MOT/3188,Open End Spinning Machine Operator,https://nqr.gov.in/sites/default/files/Open%20end%20Spinning%20machine%20operator.pdf
37,Textile & Handloom,2019/TEXT/MOT/3189,Auto Coner Machine Operator,https://nqr.gov.in/sites/default/files/Auto%20Coner%20Machine%20Opearotor.pdf
38,Textile & Handloom,2019/TEXT/MOT/3190,Yarn Packer,https://nqr.gov.in/sites/default/files/YARN%20PACKER.pdf
39,Textile & Handloom,2019/TEXT/MOT/3191,Cone Winding Machine Operator,https://nqr.gov.in/sites/default/files/Cone%20Windding%20machine%20Operator.pdf
40,Textile & Handloom,2019/TEXT/MOT/3192,Propeller Winding Machine Operator,https://nqr.gov.in/sites/default/files/Propeller%20Winding%20Machine%20Operator.pdf
41,Textile & Handloom,2019/TEXT/MOT/3193,TFO Machine Operator,https://nqr.gov.in/sites/default/files/TFO%20Machine%20Operator.pdf
42,Textile & Handloom,2019/TEXT/MOT/3205,Embroidery Machine Operator,https://nqr.gov.in/sites/default/files/Embroidery%20Machine%20Operator.pdf
43,Textile & Handloom,2019/TEXT/MOT/3206,Fuser & Ironer,https://nqr.gov.in/sites/default/files/fuser%20%26%20ironer.pdf
44,Textile & Handloom,2019/TEXT/MOT/3207,Computer Embroidery Machine Operator,https://nqr.gov.in/sites/default/files/Computer%20Embroidery%20Machine%20Operator.pdf
45,Textile & Handloom,2019/TEXT/MOT/3208,Garment Checker,https://nqr.gov.in/sites/default/files/Garment%20Checker.pdf
46,Textile & Handloom,2019/TEXT/MOT/3210,Sewing Machine Operator,https://nqr.gov.in/sites/default/files/Sewing%20Machine%20Operator.pdf
47,Textile & Handloom,2019/TEXT/MOT/3209,CAD Operator,https://nqr.gov.in/sites/default/files/CAD%20Operator.pdf
48,Textile & Handloom,2019/TEXT/MOT/3211,Pattern Maker,https://nqr.gov.in/sites/default/files/Pattern%20Maker.pdf
49,Textile & Handloom,2019/TEXT/MOT/3212,Fabric Checker,https://nqr.gov.in/sites/default/files/Fabric%20Checker.pdf
50,Textile & Handloom,2019/TEXT/MOT/3213,Fabric Cutter,https://nqr.gov.in/sites/default/files/Fabric%20Cutter.pdf
51,Textile & Handloom,2019/TEXT/MOT/3214,Overlock & Flatlock Machine Operator,https://nqr.gov.in/sites/default/files/Overlock%20%26%20Flatlock%20%20Machine%20Operator.pdf
52,Textile & Handloom,2019/TEXT/MOT/3215,Sewing Machine Mechanic,https://nqr.gov.in/sites/default/files/Sewing%20Machine%20Mechanic.pdf
53,Textile & Handloom,2019/TEXT/MOT/3203,Circular Knitting Machine Operator,https://nqr.gov.in/sites/default/files/Circular%20Knitting%20Machine%20Operator.pdf
54,Textile & Handloom,2019/TEXT/MOT/3204,Warp Knitting Machine Operator,https://nqr.gov.in/sites/default/files/Wrap%20Knitting%20Machine%20Operator.pdf
55,Textile & Handloom,2019/TEXT/MOT/3216,HTHP Cheese Dyeing Machine Operator,https://nqr.gov.in/sites/default/files/HTHP%20Cheese%20Dyeing%20Machine%20Operator.pdf
56,Textile & Handloom,2019/TEXT/MOT/3217,Singeing Machine Operator,https://nqr.gov.in/sites/default/files/Singeing%20machine%20Operator.pdf
57,Textile & Handloom,2019/TEXT/MOT/3218,Desizing Machine Operator,https://nqr.gov.in/sites/default/files/Desizing%20%20Machine%20Operator.pdf
58,Textile & Handloom,2019/TEXT/MOT/3219,Continuous Bleaching Range Machine Operator,https://nqr.gov.in/sites/default/files/Continuous%20Bleaching%20Range%20Machine%20Operator.pdf
59,Textile & Handloom,2019/TEXT/MOT/3220,Mercerizing Machine Operator,https://nqr.gov.in/sites/default/files/Mercerizing%20Machine%20Operator.pdf
60,Textile & Handloom,2019/TEXT/MOT/3221,Jigger Machine Operator,https://nqr.gov.in/sites/default/files/Jigger%20Machine%20Operator_0.pdf
61,Textile & Handloom,2019/TEXT/MOT/3222,Stenter Machine Operator,https://nqr.gov.in/sites/default/files/Stenter%20Machine%20Operator.pdf
62,Textile & Handloom,2019/TEXT/MOT/3223,Calendering Machine Operator,https://nqr.gov.in/sites/default/files/Calendering%20%20Machine%20Operator.pdf
63,Textile & Handloom,2019/TEXT/MOT/3224,Zero Zero Finishing Machine Operator,https://nqr.gov.in/sites/default/files/Zero%20Zero%20Finishing%20Machine%20Operator.pdf
64,Textile & Handloom,2019/TEXT/MOT/3225,Winch Dyeing Machine Operator,https://nqr.gov.in/sites/default/files/Winch%20Dyeing%20Machine%20Operator.pdf
65,Textile & Handloom,2019/TEXT/MOT/3226,Soft Flow Dyeing Machine Operator,https://nqr.gov.in/sites/default/files/Soft%20Flow%20Dyeing%20Machine%20Operator.pdf
66,Textile & Handloom,2019/TEXT/MOT/3194,Powerloom Weaver,https://nqr.gov.in/sites/default/files/Powerloom%20Weaver.pdf
67,Textile & Handloom,2019/TEXT/MOT/3195,Waterjet Loom Weaver,https://nqr.gov.in/sites/default/files/Waterjet%20Loom%20Weaver.pdf
68,Textile & Handloom,2019/TEXT/MOT/3196,Rapier Loom Weaver,https://nqr.gov.in/sites/default/files/RAPIER%20LOOM%20WEAVER.pdf
69,Textile & Handloom,2019/TEXT/MOT/3197,Airjet Loom Weaver,https://nqr.gov.in/sites/default/files/Airjet%20Loom%20Weaver.pdf
70,Textile & Handloom,2019/TEXT/MOT/3198,Projectile Loom Weaver,https://nqr.gov.in/sites/default/files/Projectile%20Loom%20Weaver.pdf
71,Textile & Handloom,2019/TEXT/MOT/3199,Warping Machine Operator,https://nqr.gov.in/sites/default/files/Warping%20Machine%20Operator.pdf
72,Textile & Handloom,2019/TEXT/MOT/3200,Sectional Warping Machine Operator,https://nqr.gov.in/sites/default/files/Sectional%20Wraping%20Machine%20Operator.pdf
73,Textile & Handloom,2019/TEXT/MOT/3201,Sizing Machine Operator,https://nqr.gov.in/sites/default/files/Sizing%20Machine%20Operator.pdf
74,Textile & Handloom,2019/TEXT/MOT/3202,Size Mixer Machine Operator,https://nqr.gov.in/sites/default/files/Size%20Mixer%20Machine%20Operator.pdf
75,Capital Goods & Manufacturing,MSME/PGDTD&CC/01,Post Graduate Diploma in Tool Design & CAD/CAM,https://nqr.gov.in/sites/default/files/NSQF-Post%20Graduate%20Diploma%20in%20Tool%20Design%20%26%20CADCAM.pdf
76,Mining,MSME/PGDIM/02,Mechatronics Engineer,https://nqr.gov.in/sites/default/files/NSQF-Mechatronics%20Engineer.pdf
77,Chemicals & Petrochemicals,(CPC/Q 1002),FRP - Assistant,https://nqr.gov.in/sites/default/files/Qualification%20File_FRP-A%20L2.pdf
78,Automotive,MSME/CCAM/07,CERTIFICATE COURSE IN ADVANCE MACHINING,https://nqr.gov.in/sites/default/files/Qualification_File__of_CCAM.pdf
79,Capital Goods & Manufacturing,MSME/ADCNC/06,ADVANCE DIPLOMA IN CNC PROGRAMMING TECHNIQUES AND PRACTICES.,https://nqr.gov.in/sites/default/files/Qualification_File__of_ADCNC.pdf
80,IT-ITeS,MSME/ANI/05,3D Animation & Special Effects,https://nqr.gov.in/sites/default/files/3D%20Animation%20and%20SP%20FX%20Qualification%20%20File.pdf
81,Textile & Handloom,2019/TEXT/MOT/3229,Handloom Weaver,https://nqr.gov.in/sites/default/files/Handloom%20Weaver.pdf
82,Textile & Handloom,2019/TEXT/MOT/3230,Hand Dyeing Operator,https://nqr.gov.in/sites/default/files/Hand%20Dyeing%20Operator.pdf
83,Textile & Handloom,2019/TEXT/MOT/3231,Hand Block Printing,https://nqr.gov.in/sites/default/files/Hand%20Block%20Printing.pdf
84,Textile & Handloom,2019/TEXT/MOT/3232,Dobby Handloom Weaver,https://nqr.gov.in/sites/default/files/Dobby%20Handloom%20Weaver.pdf
85,Textile & Handloom,2019/TEXT/MOT/3233,Jacquard Handloom Weaver,https://nqr.gov.in/sites/default/files/Jacquard%20Handloom%20Weaver.pdf
86,Construction,STC-CON/NSQF-2017/801,Amin Survey,https://nqr.gov.in/sites/default/files/Amin%20Survey%20%28revised%20as%20on%20%2024.1.2017%29.pdf
87,Automotive,STC-AUR/NSQF-2017/801,2/3 WHEELER MECHANIC/TECHNICIAN,https://nqr.gov.in/sites/default/files/NSQF-2-3%20WHEELERS%20MECHANIC%20%20TECHNICIAN%20%28revised%20on%2024.1.2017%29.pdf
88,Capital Goods & Manufacturing,DGT/1004,Welder (CTS),https://nqr.gov.in/sites/default/files/QF%20Welder%20January%202017_V1%20%281%29_0.pdf
89,Construction,DGT/1007,Draughtsman Civil (CTS),https://nqr.gov.in/sites/default/files/QF%20DMC%20January%202017_0.pdf
90,Capital Goods & Manufacturing,DGT/1002,Fitter (CTS),https://nqr.gov.in/sites/default/files/Fitter%2023rd%20Jan%202017_0.pdf
91,Retail,RET101,Sales Person (Retail),https://nqr.gov.in/sites/default/files/QF%20_Sales%20person_RET101-3%20123.pdf
92,Capital Goods & Manufacturing,DGT/1013,Turner (CTS),https://nqr.gov.in/sites/default/files/QF%20Turner%20Jan%202017_V1%20%281%29_0_0.pdf
93,Environmental Science,RNE701,Solar Electric System Installer and Service Provider,https://nqr.gov.in/sites/default/files/QF%20_solar%20electric_RNE701%20%281%29.pdf
94,Capital Goods & Manufacturing,MSME / ACCPT /22,Advance Certificate Course in Polymer Technology,https://nqr.gov.in/sites/default/files/14.%20PPDC%20MERRUT%20QUALFILE%20ACCPT%2022.pdf
95,Beauty & Wellness,MSME/PDAPM/30,Post .Diploma in Aroma Process& its Management,https://nqr.gov.in/sites/default/files/22.%20FFDC%20KANNAUJ%20QUALFILE%20PDAPM%2030.pdf
96,IT-ITeS,TASK/01/2016,Tizen Operating System,https://nqr.gov.in/sites/default/files/TIEZEN%20Qfiles.pdf
97,Textile & Handloom,2019/TEXT/MOT/3228,Washing Operator (Denim),https://nqr.gov.in/sites/default/files/Washing%20Operator%20%28Denim%29.pdf
98,Textile & Handloom,2019/TEXT/MOT/3234,Electroplating and Effluent treatment,https://nqr.gov.in/sites/default/files/Electroplating%20And%20Effluent%20Treatment.pdf
99,Textile & Handloom,2019/TEXT/MOT/3235,Basic Art Of Engraving,https://nqr.gov.in/sites/default/files/Basic%20Art%20Of%20Engraving.pdf
100,Textile & Handloom,2019/TEXT/MOT/3236,lacquering and painting,https://nqr.gov.in/sites/default/files/Lacquering%20and%20Painting.pdf
101,Textile & Handloom,2019/TEXT/MOT/3237,Packaging,https://nqr.gov.in/sites/default/files/Packaging.pdf
102,Textile & Handloom,2019/TEXT/MOT/3238,Powder coating,https://nqr.gov.in/sites/default/files/Powder%20Coating.pdf
103,Textile & Handloom,2019/TEXT/MOT/3239,Quality control,https://nqr.gov.in/sites/default/files/Quality%20Control.pdf
104,Textile & Handloom,2019/TEXT/MOT/3240,Computer Aided Design (CAD),https://nqr.gov.in/sites/default/files/Computer%20Aided%20Designe.pdf
105,Textile & Handloom,2019/TEXT/MOT/3241,Welding and soldering,https://nqr.gov.in/sites/default/files/Welding%20And%20Soldering.pdf
106,Beauty & Wellness,MSME / CCMO /21,CERTIFICATE COURSE IN MACHINE OPERATION,
107,Capital Goods & Manufacturing,MSME/MCCCC/38,MASTER CERTIFICATE COURSE IN CAD/CAM,https://nqr.gov.in/sites/default/files/8.IGTR%20AURANGABAD%20MCCCC%20QUALFILE.pdf
108,Capital Goods & Manufacturing,MSME/CCCT/55,Certificate Course in CNC Turning,https://nqr.gov.in/sites/default/files/25.IDTR%20JAMSHEDPUR%20CCCT%20QUALFILE.pdf
109,Leather,2020/LT/FDDI/03995,Basic Closing Operator- Goods & Garments,https://nqr.gov.in/sites/default/files/QF%20-%20Closing%20-%20G%26G_0.pdf
110,Leather,2020/LT/FDDI/03994,Basic Cutting Operator - Footwear,https://nqr.gov.in/sites/default/files/QF%20-%20Cutting%20-%20Footwear_0.pdf
111,Leather,2020/LT/FDDI/03996,Basic Cutting Operator - Goods & Garments,https://nqr.gov.in/sites/default/files/QF%20-%20Cutting%20-%20G%26G_0.pdf
112,Leather,2020/LT/FDDI/03993,Basic Closing Operator- Footwear,https://nqr.gov.in/sites/default/files/QF%20-%20Closing%20-%20Footwear_0.pdf
113,Healthcare,MED206,Dresser,https://nqr.gov.in/sites/default/files/QF%20_Dresser%20_MED206.pdf
114,Healthcare,MED101,Bedside Assistant,https://nqr.gov.in/sites/default/files/QF%20_Bedside%20Asst._MED101.pdf
115,Agriculture,AGR/Q1111,Agricultural Machinery-Repair and Maintenance Service Provider,https://nqr.gov.in/sites/default/files/NSQF%20-%20QualFile%20%20V-6%20%281%29-%20AGRICULTURE%20MACHINERY-%20REPAIR%20AND%20MAINTENANCE%20SERVICE%20PROVIDER.pdf
116,Agriculture,AGR/Q8104,Soil Sampler/ Collector,https://nqr.gov.in/sites/default/files/NSQF%20-%20QualFile%20%20V-6%20-Soil%20Sampler-Collector.pdf
117,Environmental Science,2017/ES/MOEF/01993,Advanced certificate course in Para taxonomy,https://nqr.gov.in/sites/default/files/Advanced%20certificate%20course%20in%20Para%20taxonomy.pdf
118,Construction,STC-CON/NSQF-2017/802,Assistant House Wireman and Motor Winder,https://nqr.gov.in/sites/default/files/Q%20File.pdf
119,Construction,LTC-2017/CON/WB/01988,Work Assistant,https://nqr.gov.in/sites/default/files/Q%20File-Work%20assistant.pdf
120,Capital Goods & Manufacturing,2018/CCM/DGT/02050,Draughtsman Mechanical (CTS),https://nqr.gov.in/sites/default/files/QF_Draughtsman%20Mechanical_0.pdf
121,Capital Goods & Manufacturing,2018/CCM/DGT/02053,Machinist (CTS),https://nqr.gov.in/sites/default/files/QF_Machinist_0_0.pdf
122,Capital Goods & Manufacturing,2018/CCM/DGT/02052,Foundryman (CTS),https://nqr.gov.in/sites/default/files/QF_Foundryman_0.pdf
123,Capital Goods & Manufacturing,2018/CCM/DGT/02051,Tool and Die Maker ( Dies and Moulds) (CTS),https://nqr.gov.in/sites/default/files/QF_TDM_%28D%26M%29_0.pdf
124,Capital Goods & Manufacturing,2018/CCM/DGT/02049,"Tool and Die Maker ( Press Tools, Jigs and Fixtures) (CTS)",https://nqr.gov.in/sites/default/files/QF_TDM_%28PJF%29_0.pdf
125,Automotive,2018/AUT/DGT/02048,Mechanic Diesel (CTS),https://nqr.gov.in/sites/default/files/Mechanic%20diesel_0.pdf
126,Tourism & Hospitality,DGT/1042,Food Production (General) (CTS),https://nqr.gov.in/sites/default/files/Food%20Production%20%28General%29_CTS_NSQF-4_1.pdf
127,Healthcare,2018/HLT/DGT/02059,Health Sanitary Inspector (CTS),https://nqr.gov.in/sites/default/files/QF_HEALTH_SANITARY_INSPECTOR_0.pdf
128,IT-ITeS,2018/ITES/DGT/02061,Desktop Publishing Operator (CTS),https://nqr.gov.in/sites/default/files/QF%20-%20DTPO_0.pdf
129,Electronics & HW,DGT/1067,Technician Power Electronics (CTS),https://nqr.gov.in/sites/default/files/2%20QF_Technician_Power_Electronics..._0.pdf
130,IT-ITeS,2018/ITES/DGT/02062,"Multimedia, Animation and Special Effects (CTS)",https://nqr.gov.in/sites/default/files/QF%20-%20%20MASE_0.pdf
131,Electronics & HW,DGT/1010,Mechanic Refrigeration and Air Conditioner (CTS),https://nqr.gov.in/sites/default/files/QF%20-%20%20Mechanic%20Refrigeration%20%26%20Air%20Conditioning_0.pdf
132,Electronics & HW,DGT/2001,Technician Mechatronics (CTS),https://nqr.gov.in/sites/default/files/QF%20-%20Technician_Mechatronics_0.pdf
133,Electronics & HW,DGT/1066,Mechanic Consumer Electronic Appliances (CTS),https://nqr.gov.in/sites/default/files/QF%20-%20Mech%20Consumer%20Electronics%20Appliances....pdf
134,Construction,2018/CON/RMSA/02092,Multi Skill Assistant Technician,https://nqr.gov.in/sites/default/files/Multiskill%20Q%20File%20Revised%2022%2002%2019.pdf
135,Hydrocarbon,2018/HYC/HSSCI/02117,LPG Mechanic,https://nqr.gov.in/sites/default/files/QF-LPG%20Mechanic.pdf
136,Construction,2018/CON/CSDCI/02110,Chargehand - Structural Erection,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Chargehand%20Structural%20Erection_0.pdf
137,Construction,2018/CON/CSDCI/02111,Construction Fitter,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Construction%20Fitter.pdf
138,Construction,2018/CON/CSDCI/02112,Foreman Fabrication,https://nqr.gov.in/sites/default/files/NSQC%20File-%20Foreman%20Fabrication.pdf
139,Construction,2018/CON/DGT/02054,Carpenter (CTS),https://nqr.gov.in/sites/default/files/carpenter%20QF_0.pdf
140,Construction,2018/CON/DGT/02055,Interior Design and Decoration (CTS),https://nqr.gov.in/sites/default/files/QF%20Interior%20Design%20and%20Decoration_0.pdf
141,Aerospace & Aviation,2018/AA/AASSC/02403,Airline Ramp Executive,https://nqr.gov.in/sites/default/files/QF%20-%20Airline%20Ramp%20Executive.pdf
142,Aerospace & Aviation,2018/AA/AASSC/02402,Airline Reservation Agent,https://nqr.gov.in/sites/default/files/QF%20-%20Airline%20Reservation%20Executive.pdf
143,Capital Goods & Manufacturing,2018/CCM/DGT/02124,Machinist Grinder (CTS),https://nqr.gov.in/sites/default/files/QF_CTS_Machinist%20Grinder.pdf
144,Capital Goods & Manufacturing,2018/CCM/DGT/02125,Marine Fitter (CTS),https://nqr.gov.in/sites/default/files/QF_CTS_Marine%20Fitter.pdf
145,Capital Goods & Manufacturing,2018/CCM/DGT/02128,Mechanic Machine Tool Maintenance (CTS),https://nqr.gov.in/sites/default/files/QF_CTS_MMTM.pdf
146,Capital Goods & Manufacturing,2018/CCM/DGT/02126,Operator Advance Machine Tool (CTS),https://nqr.gov.in/sites/default/files/QF_CTS_Opeartor%20Advance%20Machine%20Tool.pdf
147,Apparel,2018/APR/WB/02392,Garment Manufacturing,https://nqr.gov.in/sites/default/files/NSQF%20Q%20File%20for%20Garment%20Manufacturing.pdf
148,Apparel,2018/HC/WB/02394,Jari Work and Kantha Embroidery,https://nqr.gov.in/sites/default/files/NSQF%20Q%20File%20for%20Jari%20Work%20%26%20Kantha%20Embroidery.pdf
149,Apparel,2018/APR/WB/02396,Toy Making (Soft Toys),https://nqr.gov.in/sites/default/files/NSQF%20Q%20File%20for%20Toy%20Making%20%28Soft%29.pdf
150,Capital Goods & Manufacturing,2018/CCM/DGT/02202,Draughtsman Civil (ATS),https://nqr.gov.in/sites/default/files/QF_ATS_Draughtsman%20Civil.pdf
151,Capital Goods & Manufacturing,2018/CCM/DGT/02218,Fitter (Steel Plant) (ATS),https://nqr.gov.in/sites/default/files/QF_ATS_Fitter%20%28Steel%20Plant%29.pdf
152,Tourism & Hospitality,2018/TH/DGT/02231,Food Production (General) (ATS),https://nqr.gov.in/sites/default/files/QF%20-%20Food%20production%20General.pdf
153,Capital Goods & Manufacturing,2018/CCM/DGT/02209,Welder (Gas and Electric) (ATS),https://nqr.gov.in/sites/default/files/QF_ATS_Welder%20%28Gas%20%26%20Electric%29.pdf
154,Tourism & Hospitality,2018/TH/DGT/02232,Housekeeper (Carporate) (ATS),https://nqr.gov.in/sites/default/files/QF%20-%20Housekeeper%20Corporate.pdf
155,Capital Goods & Manufacturing,2018/CCM/DGT/02217,Turner (ATS),https://nqr.gov.in/sites/default/files/QF_ATS_Turner.pdf
156,Tourism & Hospitality,2018/TH/DGT/02233,Housekeeper (Hotel) (ATS),https://nqr.gov.in/sites/default/files/QF%20-%20Housekeeper%20Hotel.pdf
157,Capital Goods & Manufacturing,2018/CCM/DGT/02216,TIG/MIG Welder (ATS),https://nqr.gov.in/sites/default/files/QF_ATS_TIG%20MIG%20Welder.pdf
158,Tourism & Hospitality,2018/TH/DGT/02234,Receptionist (Hotel Clerk/ Front Office Assistant) (ATS),https://nqr.gov.in/sites/default/files/QF%20-%20Receptionist.pdf
159,Tourism & Hospitality,2018/TH/DGT/02235,Steward (ATS),https://nqr.gov.in/sites/default/files/QF%20-%20Steward.pdf
160,Capital Goods & Manufacturing,2018/CCM/DGT/02208,"ATS - TDM (Press Tool, Jig & Fixture)",https://nqr.gov.in/sites/default/files/QF_ATS_TDM%20%28Press%20Tools%2C%20Jig%20%26%20Fixtures%29.pdf
161,Capital Goods & Manufacturing,2018/CCM/DGT/02207,ATS - TDM (Dies & Moulds),https://nqr.gov.in/sites/default/files/QF_ATS_TDM%20%28Dies%20%26%20Moulds%29.pdf
162,Food Industry,2018/FI/DGT/02139,Baker and Confectioner (CTS),https://nqr.gov.in/sites/default/files/Baker%20%26%20Confectioner%20QF_0.pdf
163,Capital Goods & Manufacturing,2018/CCM/DGT/02215,Sheet Metal Worker (ATS),https://nqr.gov.in/sites/default/files/QF_ATS_Sheet%20Metal%20Worker.pdf
164,Food Industry,2018/FI/DGT/02138,Dairying (CTS),https://nqr.gov.in/sites/default/files/Dairying%20QF_0.pdf
165,Capital Goods & Manufacturing,2018/CCM/DGT/02214,Rigger (CTS),https://nqr.gov.in/sites/default/files/QF_ATS_Rigger.pdf
166,Food Industry,2018/FI/DGT/02259,Food supply Chain Management,https://nqr.gov.in/sites/default/files/Food%20Supply%20Chain%20Management%20QF.pdf
167,Tourism & Hospitality,2018/TH/DGT/02152,Front Office Assistant (CTS),https://nqr.gov.in/sites/default/files/Front%20Office%20Assistant%20QF_0.pdf
168,Food Industry,2018/FI/DGT/02258,Fruits and Vegetables Processing (CTS),https://nqr.gov.in/sites/default/files/Fruits%20Processing%20QF_0.pdf
169,Capital Goods & Manufacturing,2018/CCM/DGT/02206,Pipe Fitter (ATS),https://nqr.gov.in/sites/default/files/QF_ATS_Pipe%20Fitter.pdf
170,Tourism & Hospitality,2018/TH/DGT/02175,MES - Hospitality Assistant,https://nqr.gov.in/sites/default/files/Hospitality%20Assistant%20QF.pdf
171,Capital Goods & Manufacturing,2018/CCM/DGT/02219,Operator (Steel Plant) (ATS),https://nqr.gov.in/sites/default/files/QF_ATS_Operator%20%28Steel%20Plant%29.pdf
172,Food Industry,2018/FI/DGT/02140,Milk and Milk Product Technician (CTS),https://nqr.gov.in/sites/default/files/Milk%20Product%20Technician%20QF.pdf
