Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,NQR code,Qf link,pdf_number
Solar PV Installer-Electrical-PwD SHI,2021/PWD/SCPWD/04885,"Solar PV Installer – Electrical; installs, tests and commissions different electrical components of photovoltaic systems, that meet the performance and reliability needs of customers. The work is performed by incorporating quality craftsmanship while complying with all applicable codes, standards and safety
requirements.",Persons with Disability,Level 4,310 Hours,310 Hours,Version ,30 Dec 2021,27 May 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability (SCPwD),Solar Panel Installation Technician,Vertical Progression: Solar PV O&M Engineer (Level 5),General Qualification,Green Jobs,"{""Theory"":""139"",""Practical"":""171"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/PWD/SCPWD/04885,https://nqr.gov.in/sites/default/files/Q%20file%20NSQF%20Solar_PV_Installer-Electrical%20SHI_0.pdf,19
Solar PV Installer (Suryamitra)-PwD SHI,2021/PWD/SCPWD/04883,"Solar PV Installer checks, adapts, implements, configures, installs, inspects, tests, and commissions different components of photovoltaic systems, that meet the performance and reliability needs of customers by incorporating quality craftsmanship and complying with all applicable codes,
standards, and safety requirements.",Persons with Disability,Level 4,390 Hours,390 Hours,Version ,30 Dec 2021,27 May 2025,Skill Council for Persons with Disability (SCPwD),Skill Council for Persons with Disability (SCPwD),Solar Panel Installation Technician,Vertical Progression: Solar PV O&M Engineer (Level 5),General Qualification,Green Jobs,"{""Theory"":""172"",""Practical"":""218"",""EmployabilitySkills"":""0"",""OJT_Mandatory"":""0""}",2021/PWD/SCPWD/04883,https://nqr.gov.in/sites/default/files/Q%20file%20NSQF%20Solar_PV_Installer-Suryamitra-SHI_0.pdf,20
Battery System Repair Technician,2021/EHW/ESSC/04789,"The Battery System Repair Technician is responsible for servicing and repairing of the battery system in an Electric Vehicle. Along with that, s/he tests the battery system after servicing; and takes corrective actions against any malfunction detected.",Electronics & HW,Level 4,450 Hours,450 Hours,Version ,30 Dec 2021,30 Dec 2026,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sale Support-EM&B,Engineer – Services,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",2021/EHW/ESSC/04789,https://www.nqr.gov.in/qualification/file/QFile_Battery%20System%20Repair%20Technician.pdf,21
Battery System Design Engineer,2021/EHW/ESSC/04787,"The Battery System Designer is responsible for design and implementation of the control system that ensure battery’s longevity, efficiency and safety of the battery in an Electric Vehicle. The job covers activities like designing the battery system, thorough testing and validation of the design.",Electronics & HW,Level 5,600 Hours,600 Hours,Version ,30 Dec 2021,30 Dec 2026,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Product Design & Development-EM&B,Manager – Design,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""144"",""Practical"":""216"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""150""}",2021/EHW/ESSC/04787,https://www.nqr.gov.in/qualification/file/QFile_Battery%20System%20Design%20Engineer.pdf,22
Electronic Hardware Assembly Operator,2021/EHW/ESSC/04786,"An Electronic Hardware Assembly Operator is responsible for installing electronic components inside various devices of an Electric Vehicle. Along with that, s/he reviews blueprints and specification sheets, inspects components, performs quality assurance tests, identifies defects in the assembly process; and takes corrective actions against any malfunction detected.",Electronics & HW,Level 4,450 Hours,450 Hours,Version ,30 Dec 2021,30 Dec 2026,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Support-EM&B,Production Supervisor,"Future Skills Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",2021/EHW/ESSC/04786,https://www.nqr.gov.in/qualification/file/QFile_Electronic%20Hardware%20Assembly%20Operator.pdf,23
Field Technician – Air Conditioner,2022/EHW/ESSC/05110,Field Technician – Air Conditioner provides after sales service to customers where he/she needs to interact with customers to diagnose the problem and assess possible causes. The individual identifies and rectifies minor problems or replaces faulty modules for failed parts or recommends factory repair for bigger faults.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Field Engineer- RACW,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",2022/EHW/ESSC/05110,https://www.nqr.gov.in/qualification/file/QFile_Field%20Technician%20-%20UPS%20&%20Inverter.pdf,24
Field Technician – Other Home Appliances,2022/EHW/ESSC/05111,Field Technician – is responsible for interacting with the customer to install the appliance as well as diagnose the problem. The individual also needs to assess possible causes of fault reported and rectify problems/faults.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Service Engineer- Consumer Durables,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",2022/EHW/ESSC/05111,https://www.nqr.gov.in/qualification/file/QFile_Field%20Technician%20%E2%80%93%20Other%20Home%20Appliances.pdf,25
LED Light Repair Technician,2022/EHW/ESSC/05126,A LED Light Repair Technician is responsible for checking the non-functional LED light in a systematic manner to find out the fault; dismantles it; repairs the fault and reassemble the light to make it functional.,Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Installation,LED Light Project Engineer,Multi-Skill Qualification,N.A.,"{""Theory"":""150"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",2022/EHW/ESSC/05126,https://www.nqr.gov.in/qualification/file/QFile_LED%20Light%20Repair%20Technician.pdf,26
Electronics Manufacturing Services Technician,2022/EHW/ESSC/05136,"Electronics Manufacturing Services Technician in this job job works on SMT machines, circuit boards and soldering equipment. The individual is responsible for the maintenance and troubleshooting of SMT equipment and also assists in the assembly and programming of SMT equipment.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jun 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Assembly and soldering,EMS Supervisor,"Heritage/Traditional Qualification,Multi-Skill Qualification",N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",2022/EHW/ESSC/05136,https://www.nqr.gov.in/qualification/file/QFile_EMS%20Technician.pdf,27
Digital Cable Technician – Access,2022/EHW/ESSC/05138,"Digital Cable Technician in this job programs, install, maintenance and repair of cable television and set-top box at premises. The technicians work on the trunk line and sub-trunk line, and inspect cable lines, lay cables under or on top of the building and repair cable faults.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,27 Jan 2022,27 Jan 2027,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Digital Cable TV Supervisor- Network,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""236"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",2022/EHW/ESSC/05138,https://www.nqr.gov.in/qualification/file/QFile_Digital%20Cable%20Technician%20-%20Access.pdf,28
AR/VR Developer,2021/ME/MESC/04873,"Augmented Reality (AR) developers enhances the user experiences by overlaying digital information on top of the real world. The virtual reality designer develops virtual reality to simulate the user experiences and the complex object interactions or services with one another and with the user.
The individual in this role is to works closely/ guide the various execution team, pre-production team, asset development team, technical team throughout the visualisation design and development process to ensure that the final product will accomplish the object of the project. AR/VR developers are responsible for putting the plan into action, which may include designing AR assets, along with providing support and ongoing maintenance for the user during project life cycle.",Media & Entertainment,Level 6,1230 Hours,1080 Hours,Version ,30 Dec 2021,30 Dec 2026,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Game Design,"Entrepreneur, Chief Technology Officer",Future Skills Qualification,N.A.,"{""Theory"":""420"",""Practical"":""600"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",2021/ME/MESC/04873,https://www.nqr.gov.in/qualification/file/NSQF_AR_VR_Developer.pdf,29
Assistant Costume Designer,2021/ME/MESC/04864,"Assistant Costume Designer assists the Costume designer who designs costumes for a film, stage, production or television shout. The assistant costume designer is to make the characters' outfits/costumes as per the direction of Costume designer.
Coordinates elements for fittings including all pulled and purchased items. Creates dressing lists as needed for wardrobe and maintains production bible. Attends production meetings and rehearsals as needed.",Media & Entertainment,Level 3,600 Hours,510 Hours,Version ,30 Dec 2021,29 Dec 2025,Media & Entertainment Skill Council (MESC),Media & Entertainment Skill Council,Costume Designing,"•	Costume Designer at NSQF level 4
•	Costume Supervisor at NSQF Level 5",General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""300"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""90""}",2021/ME/MESC/04864,https://www.nqr.gov.in/qualification/file/NSQF_Assistant_Costume_Designer.pdf,30
Cinematographer,2021/ME/MESC/04868,"A Cinematographer is an artist, using video camera and responsible for transporting or setting up the equipment, shooting, hauling it away, and then creating the movie or film clip/news clip etc.  Apart from capturing the clip individual will also be responsible for video editing, inserting closed captions, graphics, or other on-screen text into a video and special effects to a video. These tasks may vary by type of Videographer.  For example, a wedding Videographer might spend the day talking to the client and shooting the event while a Newspaper Videographer will be filming scenes of human crisis, political news, etc. in all the cases the responsibility of the individual is behind the camera.",Media & Entertainment,Level 5,600 Hours,600 Hours,Version ,30 Dec 2021,29 Dec 2025,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,"Camera Operations, Photography",Director of Photography,General Qualification,N.A.,"{""Theory"":""165"",""Practical"":""285"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",2021/ME/MESC/04868,https://www.nqr.gov.in/qualification/file/NSQF_Cinematographer.pdf,31
Costume Designer,2021/ME/MESC/04865,"Costume designer is a person who designs costumes for a film, stage, production, or television shout. The role of the costume designer is to create the characters' outfits/costumes and balance the scenes with texture and colour, etc.
Costume Designer must deliver initial ideas to Directors about the overall costume vision, character plots and original costume designs, using sketches and fabric samples. They also discuss colour palettes with the Director of Photography and Production Designer. The costume designer may also collaborate with hair stylist, wig master, or makeup artist.",Media & Entertainment,Level 4,630 Hours,540 Hours,Version ,30 Dec 2021,29 Dec 2025,Media & Entertainment Skill Council (MESC),Media & Entertainment Skill Council,Costume Designing,"Costume Supervisor, Stylist",General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""330"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",2021/ME/MESC/04865,https://www.nqr.gov.in/qualification/file/NSQF_Costume_Designer.pdf,32
Event Planner/Event Manager,2021/ME/MESC/04870,"An event planner is the individual responsible for ensuring an event, wedding, conference, or festival goes to plan and achieves all of the event objectives originally set. They are responsible for envisioning the dream and thereafter planning the execution to a tee with a checklist of items such as identifying suppliers and execution partners, ensuring all suppliers and partners know what is expected of them and what others are delivering; ensuring suppliers turn up on time and that the presenter/performers are booked and on schedule, to wider items such as ensuring that the event adheres to health and safety or sustainability concerns.",Media & Entertainment,Level 5,510 Hours,420 Hours,Version ,30 Dec 2021,29 Dec 2025,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Account Management,"•	Account Manager (Horizontal Progression))
•	Account Director
•	Manager (Operations)",General Qualification,N.A.,"{""Theory"":""105"",""Practical"":""255"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",2021/ME/MESC/04870,https://www.nqr.gov.in/qualification/file/NSQF_Event_Planner.pdf,33
Game Artist,2021/ME/MESC/04871,"A game artist is an artist who creates art for one or more types of games. In this role an individual will be liable to create 2D and 3D art for the visual elements of a video game, such as characters, vehicles, props, scenery, background, objects, colours, textures, and clothing.
In video games, game artists are responsible for all  the aspects of game development that call for visual art. Game artists play a vital role and are often credited in role-playing games, collectible card games and video games.",Media & Entertainment,Level 5,1050 Hours,1050 Hours,Version ,30 Dec 2021,29 Dec 2025,Media & Entertainment Skill Council (MESC),Media & Entertainment Skills Council,Game Development,"Game Tester (Horizontal)
Technical Artist – AR/VR  (Horizontal)
Visual Artist
AR/VR Developer
Entrepreneur",General Qualification,N.A.,"{""Theory"":""315"",""Practical"":""585"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""150""}",2021/ME/MESC/04871,https://www.nqr.gov.in/qualification/file/NSQF_Game_Artist.pdf,34
